IID	value
id_57_2	-3.16450279696959
id_67_2	-1.89599147150608
id_77_2	-2.87682072451781
id_15_2	-2.58913865206603
id_16_2	-2.58913865206603
id_28_2	-2.23578954509688
id_38_2	-3.33440183376499
id_48_2	-1.20284429094614
id_58_2	1.11216332204646
id_68_2	-1.66042540019332
id_78_2	0.654582212799283
id_17_2	-0.156348003417045
id_18_2	2.21077561071457
id_29_2	-3.40006886828236
id_39_2	2.32855864637095
id_49_2	-0.679596147181592
id_59_2	-1.08506125528976
id_69_2	-1.32062732660252
id_79_2	-0.509697110386194
id_19_2	-4.32878212015507
id_20_2	1.80531050260641
id_30_2	0.994380286390079
id_40_2	3.30938789938268
id_50_2	-1.66042540019332
id_60_2	3.36150390052169
id_70_2	1.68752746695002
id_80_2	6.38320972745259
id_1_3	0.994380286390079
id_2_3	-1.08506125528976
id_21_3	1.80531050260641
id_31_3	-0.915162218494358
id_41_3	-0.10423200227803
id_51_3	-0.84949518397699
id_61_3	-2.64125465320504
id_71_3	-3.45218486942137
id_3_3	-3.40006886828236
id_4_3	-1.7782084358497
id_22_3	-1.08506125528976
id_32_3	0.183450070173751
id_42_3	-0.967278219633373
id_52_3	-0.222015037934413
id_62_3	-2.01377450716247
id_72_3	0.588915178281915
id_5_3	3.59706997183446
id_6_3	1.80531050260641
id_23_3	1.28206235884186
id_33_3	2.09299257505819
id_43_3	4.57789922484619
id_53_3	1.11216332204646
id_63_3	3.1916048637263
id_73_3	0.994380286390079
id_7_3	0.471132142625532
id_8_3	-1.32062732660252
id_24_3	-1.4384103622589
id_34_3	-2.41923961527063
id_44_3	-3.40006886828236
id_54_3	-5.19182833751041
id_64_3	-2.13155754281885
id_74_3	-6.69590573428668
id_9_3	-3.04671976131321
id_10_3	-1.18929325756779
id_25_3	-2.23578954509688
id_35_3	-1.83032443698872
id_45_3	-2.35357258075326
id_55_3	-1.30707629322417
id_65_3	-2.81115369000044
id_75_3	-1.42485932888055
id_11_3	-8.08220009540657
id_12_3	-1.08506125528976
id_26_3	0.419016141486517
id_36_3	-0.797379182837975
id_46_3	-4.66858019374586
id_56_3	-4.95626226619764
id_66_3	-5.24394433864943
id_76_3	-3.33440183376499
id_13_3	-6.17265759052214
id_14_3	-2.30145657961425
id_27_3	-5.76719248241397
id_37_3	-8.48766520351474
id_47_3	-4.2631150856377
id_57_3	0.301233105830134
id_67_3	-3.97543301318592
id_77_3	-1.89599147150608
id_15_3	0.654582212799283
id_16_3	-1.9481074726451
id_28_3	-3.45218486942137
